steps,time,reward,delta,converged
1,0.041083172176215044,2.6241132938650247,0.6275504994332959,False
2,0.04378615652163376,5.900537264709041,0.00028211099074559984,False
3,0.04531604792651933,5.901106000466385,0.0001692665944473599,False
4,0.04923101435727517,5.901543277015817,0.00010155995666841595,False
5,0.05138690772399457,5.901673046266049,6.0935974001049565e-05,False
6,0.05320035007781598,5.901787469400589,3.656158440062974e-05,False
7,0.05606304421205266,5.901856123281314,2.1936950640377843e-05,False
8,0.058061115612531466,5.901903507094697,1.3162170384226705e-05,False
9,0.06072936402277662,5.901919301699158,7.897302230536022e-06,False
10,0.05883399016973101,5.901938065689258,4.738381338321613e-06,False
11,0.06229776700796208,5.901944775237233,2.843028802992968e-06,False
12,0.05992213109492184,5.90194939049647,1.7058172817957808e-06,False
13,0.059709939838867854,5.90195157012156,1.0234903690774685e-06,False
14,0.059342569568158865,5.9019529542997615,6.140942214464811e-07,False
15,0.06047526310582896,5.901953339947002,6.140942214464811e-07,False
16,0.06021549872119181,5.901953561020922,6.140942214464811e-07,False
17,0.059616303839746365,5.901953561020922,6.140942214464811e-07,True
