episode,length,time,reward,delta
0,500.0,0.03396306059858034,0.0,-5.868794083275635e-05
1,500.0,0.03199217384280928,0.0,-9.903701288552702e-05
2,500.0,0.03410464729040541,0.0,-4.140449693641361e-05
3,500.0,0.03310372376745363,0.0,-9.251048583938502e-05
4,500.0,0.03236671783906786,0.0,-5.6551263990238396e-05
5,500.0,0.0322375907753667,0.0,-1.9750649500060335e-05
6,339.0,0.022083748339355225,1.0,1.0006230643200515
7,324.0,0.020834387368267926,1.0,0.5003115321600258
8,370.0,0.02472254671738483,1.0,0.2501557660800129
9,278.0,0.017798768686589028,1.0,0.12507788304000644
10,228.0,0.014566061329787772,1.0,0.06253894152000328
11,252.0,0.017851627718300733,1.0,0.03126947076000164
12,224.0,0.014479221492365468,1.0,0.01563473538000082
13,233.0,0.015111642051124363,1.0,0.00781736769000041
14,210.0,0.014603440216887975,1.0,0.003908683845000205
15,222.0,0.014156026269120048,1.0,0.0019543419225001024
16,230.0,0.01471557687727909,1.0,0.0009771709612500512
17,231.0,0.015328364081142354,1.0,0.0004885854806251366
18,205.0,0.01338541709992569,1.0,0.0002442927403125683
19,188.0,0.012079421449925576,1.0,0.00012214637015617313
20,181.0,0.011796625630267954,1.0,6.107318507808657e-05
21,182.0,0.011646354954791605,1.0,3.0536592539043284e-05
22,185.0,0.012040532305036322,1.0,1.5268296269521642e-05
23,176.0,0.011434541263042775,1.0,7.634148134760821e-06
24,184.0,0.011858168646540435,1.0,3.817074067491433e-06
25,133.0,0.008629236935121298,1.0,1.9085370337457164e-06
26,172.0,0.010682810318030533,1.0,9.542685168728582e-07
27,135.0,0.008543152225684025,1.0,4.771342583254068e-07
28,190.0,0.01238789165745402,1.0,2.385671291627034e-07
29,131.0,0.007983224053532467,1.0,1.192835645813517e-07
30,176.0,0.01116760315198917,1.0,5.964178217965355e-08
31,130.0,0.008124433180455526,1.0,2.982089108982677e-08
32,156.0,0.010025092937212321,1.0,1.4910445544913387e-08
33,112.0,0.007454256171513407,1.0,7.455222661434391e-09
34,125.0,0.009778920874850883,1.0,3.7276113307171954e-09
35,145.0,0.01027655090274493,1.0,1.8638055543362952e-09
36,125.0,0.007998704198143969,1.0,9.319027771681476e-10
37,122.0,0.007773675749376707,1.0,4.659512775617713e-10
38,104.0,0.006636073872869019,1.0,2.329756387808857e-10
39,102.0,0.006503548728687747,1.0,1.1648770836814037e-10
40,104.0,0.006977014627409517,1.0,5.824385418407019e-11
41,96.0,0.00637404410099407,1.0,2.9122038114337556e-11
42,121.0,0.00774988918510644,1.0,1.4561019057168778e-11
