step,reward,mean,median,std,max,min
0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
1,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
2,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
3,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
4,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
5,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
6,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
7,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
8,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
9,0.020833333333333332,0.020833333333333336,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
10,0.020833333333333332,0.020833333333333336,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
11,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
12,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
13,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
14,0.020833333333333332,0.02083333333333333,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
15,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
16,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
17,0.020833333333333332,0.02083333333333333,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
18,0.020833333333333332,0.02083333333333333,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
19,0.020833333333333332,0.02083333333333333,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
20,0.020833333333333332,0.02083333333333333,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
21,0.020833333333333332,0.02083333333333333,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
22,0.020833333333333332,0.020833333333333325,0.020833333333333332,6.938893903907228e-18,0.020833333333333332,0.020833333333333332
23,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
24,0.020833333333333332,0.020833333333333336,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
25,0.020833333333333332,0.020833333333333336,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
26,0.020833333333333332,0.02083333333333334,0.020833333333333332,6.938893903907228e-18,0.020833333333333332,0.020833333333333332
27,0.020833333333333332,0.02083333333333334,0.020833333333333332,6.938893903907228e-18,0.020833333333333332,0.020833333333333332
28,0.020833333333333332,0.02083333333333334,0.020833333333333332,6.938893903907228e-18,0.020833333333333332,0.020833333333333332
29,0.020833333333333332,0.02083333333333334,0.020833333333333332,6.938893903907228e-18,0.020833333333333332,0.020833333333333332
30,0.020833333333333332,0.020833333333333343,0.020833333333333332,1.0408340855860843e-17,0.020833333333333332,0.020833333333333332
31,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
32,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332
33,0.020833333333333332,0.020833333333333336,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
34,0.020833333333333332,0.020833333333333336,0.020833333333333332,3.469446951953614e-18,0.020833333333333332,0.020833333333333332
