episode,length,time,reward,delta
0,500.0,0.03546614492279332,0.0,0.00010236091469168932
1,142.0,0.008983392447589722,1.0,0.9999535097727121
2,500.0,0.03193969237554484,0.0,-6.09563654498406e-05
3,383.0,0.02660810389352264,1.0,0.49997675488635607
4,233.0,0.014568704281373357,1.0,0.24998837744317803
5,500.0,0.030542326114300522,0.0,-9.610859151213319e-05
6,283.0,0.01798490799137653,1.0,0.9993156815298317
7,423.0,0.027634701802981,1.0,0.4996578407649158
8,243.0,0.015390284660952602,1.0,0.24982892038245796
9,272.0,0.016550540407934022,1.0,0.12491446019122898
10,203.0,0.01264916629952495,1.0,0.062457230095614547
11,201.0,0.012654452203150868,1.0,0.031228615047807273
12,205.0,0.013060334053989209,1.0,0.015614307523903692
13,132.0,0.009494237232956948,1.0,0.12499418872158907
14,160.0,0.010367166385549353,1.0,0.007807153761951846
15,180.0,0.011063395346809557,1.0,0.062497094360794536
16,154.0,0.009568239877353335,1.0,0.031248547180397268
17,165.0,0.01047099662673645,1.0,0.0039035768809758675
18,129.0,0.007951508634505444,1.0,0.015624273590198579
19,136.0,0.008848224351822864,1.0,0.007812136795099289
20,116.0,0.007362130430465186,1.0,0.0019517884404879338
21,145.0,0.009301301767209225,1.0,0.003906068397549589
22,155.0,0.009693591295672377,1.0,0.0019530341987747946
23,79.0,0.005577760543928889,1.0,0.0009758942202440224
24,128.0,0.008206742244965426,1.0,0.0009765170993873973
25,110.0,0.0070219448048192135,1.0,0.0004879471101220112
26,120.0,0.007398376623768854,1.0,0.00048825854969369864
27,117.0,0.007063854465286568,1.0,0.00024412927484684932
28,129.0,0.007933007973406347,1.0,0.0002439735550610056
29,82.0,0.005124683128997276,1.0,0.00012206463742336915
30,129.0,0.007993418295427546,1.0,0.00012198677753039178
31,97.0,0.006026307185038604,1.0,6.10323187117956e-05
32,98.0,0.006028950136624189,1.0,3.05161593558978e-05
33,92.0,0.006116922667843028,1.0,6.099338876519589e-05
34,97.0,0.006019888588525646,1.0,1.52580796779489e-05
35,113.0,0.0070710281916035456,1.0,3.0496694382708966e-05
36,75.0,0.004820743696654972,1.0,7.62903983897445e-06
37,63.0,0.004096197396847856,1.0,1.5248347191354483e-05
38,84.0,0.0057929723161578295,1.0,3.814519919487225e-06
39,91.0,0.00798737726336185,1.0,7.624173595566219e-06
40,78.0,0.005242105692104815,1.0,1.9072599597436124e-06
41,73.0,0.004705964084678271,1.0,3.8120867977831097e-06
42,60.0,0.003895710640335892,1.0,9.536299798718062e-07
43,81.0,0.005235687095591857,1.0,1.9060433988915548e-06
44,70.0,0.004382013732538326,1.0,4.768149899359031e-07
45,70.0,0.004312541862418584,1.0,2.3840749507897385e-07
46,63.0,0.003769604093122325,1.0,9.530216993347551e-07
47,69.0,0.004241937298502307,1.0,1.1920374753948693e-07
48,62.0,0.003851913157177478,1.0,4.7651084966737756e-07
49,63.0,0.003924027979337552,1.0,5.960187365872116e-08
50,71.0,0.004412974022670824,1.0,2.3825542472266648e-07
51,56.0,0.0035098397088404454,1.0,2.980093682936058e-08
52,55.0,0.003541932692314731,1.0,1.1912771236133324e-07
53,73.0,0.004494905522278714,1.0,1.490046841468029e-08
54,59.0,0.0038398310925913393,1.0,5.9563856069644316e-08
55,51.0,0.003167011131608888,1.0,7.450234207340145e-09
56,58.0,0.0036725700138049433,1.0,2.9781928034822158e-08
57,64.0,0.0051394081447142526,1.0,1.4890964017411079e-08
58,40.0,0.0028188966507514124,1.0,3.7251171036700725e-09
59,35.0,0.0023182461068245175,1.0,1.8625585518350363e-09
60,49.0,0.0031911752603264176,1.0,7.4454820087055396e-09
61,58.0,0.0037578995934381965,1.0,9.312792759175181e-10
62,52.0,0.0034415005320624914,1.0,3.7227410043527698e-09
63,31.0,0.0019712643202183244,1.0,4.656395269364566e-10
64,46.0,0.0028494793759819004,1.0,1.8613706131986874e-09
65,49.0,0.003037884068362473,1.0,2.328197634682283e-10
66,43.0,0.0028170088280603522,1.0,9.306853065993437e-10
67,33.0,0.002058104158095375,1.0,1.1640999275641661e-10
68,44.0,0.0027158215389135876,1.0,4.6534265329967184e-10
69,35.0,0.002281622349528334,1.0,5.820499637820831e-11
70,35.0,0.002187986350236315,1.0,2.9102498189104153e-11
71,38.0,0.0024058410740508407,1.0,2.3267121562753346e-10
72,33.0,0.002041491319232591,1.0,1.4551249094552077e-11
73,35.0,0.002206487011335412,1.0,1.1633560781376673e-10
74,30.0,0.0018931084659925546,1.0,7.275513524973576e-12
75,34.0,0.0021355048829718726,1.0,3.637756762486788e-12
76,32.0,0.0020143066744822136,1.0,1.8189894035458565e-12
77,30.0,0.0018889552561631717,1.0,9.094947017729282e-13
78,30.0,0.0018885776917159092,1.0,4.547473508864641e-13
79,29.0,0.0017473685638833558,1.0,2.2737367544323206e-13
80,31.0,0.0019818361265606654,1.0,1.1368683772161603e-13
81,29.0,0.0018323205795240938,1.0,5.684341886080802e-14
82,29.0,0.0018674340794859745,1.0,2.842170943040401e-14
83,38.0,0.002509293750335928,1.0,1.4210854715202004e-14
84,32.0,0.0020229906581334944,1.0,7.105427357601002e-15
85,32.0,0.002023368222580757,1.0,3.552713678800501e-15
86,31.0,0.002047532351753034,1.0,1.7763568394002505e-15
87,30.0,0.0018855571756830614,1.0,8.881784197001252e-16
88,31.0,0.0019323751753290708,1.0,4.440892098500626e-16
89,29.0,0.0018466680307938077,1.0,2.220446049250313e-16
90,29.0,0.0017636038378441299,1.0,0.0
91,30.0,0.0018825366596502136,1.0,0.0
92,29.0,0.0018191058215961675,1.0,0.0
93,29.0,0.0017960743862204254,1.0,0.0
94,31.0,0.0019474777554933098,1.0,0.0
95,29.0,0.0018387391764917993,1.0,0.0
96,29.0,0.001850443676175928,1.0,0.0
97,32.0,0.0020637676257138082,1.0,0.0
98,31.0,0.0019410591589803516,1.0,0.0
99,30.0,0.0018719648533078725,1.0,0.0
100,29.0,0.0018092891441483516,1.0,0.0
101,29.0,0.0017458583060943056,1.0,0.0
102,29.0,0.0018946187237816048,1.0,0.0
103,29.0,0.0018308103212802962,1.0,0.0
104,31.0,0.0018942411593343422,1.0,0.0
105,33.0,0.00205697146429884,1.0,0.0
106,31.0,0.0019403040296310792,1.0,0.0
107,32.0,0.002051307996680407,1.0,0.0
108,29.0,0.0022989903168308956,1.0,0.0
109,29.0,0.0018047583703264536,1.0,0.0
110,29.0,0.0017719102570481482,1.0,0.0
111,29.0,0.0018119320957339369,1.0,0.0
112,29.0,0.001824391724767338,1.0,0.0
113,30.0,0.00184553533745202,1.0,0.0
114,29.0,0.001829300063491246,1.0,0.0
115,32.0,0.0020056226908309327,1.0,0.0
116,29.0,0.0018266571119056607,1.0,0.0
117,29.0,0.0017518993386147486,1.0,0.0
118,29.0,0.0018417596920698998,1.0,0.0
119,29.0,0.00187158728886061,1.0,0.0
120,29.0,0.0022495293660540483,1.0,0.0
121,45.0,0.002809457537750859,1.0,5.81676928845809e-11
122,29.0,0.001807778885904554,1.0,0.0
123,29.0,0.001872719982657145,1.0,0.0
124,31.0,0.0021876087857890525,1.0,0.0
125,30.0,0.0020067553841727204,1.0,0.0
126,29.0,0.001887822562821384,1.0,0.0
127,29.0,0.0019002821918547852,1.0,0.0
128,31.0,0.002015816932726011,1.0,0.0
129,29.0,0.001856107143794361,1.0,0.0
130,30.0,0.0019478553199405724,1.0,0.0
131,48.0,0.003091498228513956,1.0,0.0
132,32.0,0.002170995947381016,1.0,0.0
133,31.0,0.002335236510134564,1.0,0.0
134,32.0,0.0023503390907535504,1.0,0.0
135,29.0,0.002026388739068352,1.0,0.0
136,32.0,0.0020894420122203883,1.0,0.0
137,29.0,0.0018938635948870797,1.0,0.0
138,31.0,0.0020377156743052183,1.0,0.0
139,30.0,0.0019437021105659369,1.0,0.0
140,31.0,0.0020433791419236513,1.0,0.0
141,29.0,0.001950498271980905,1.0,0.0
142,30.0,0.0019523860946719651,1.0,0.0
143,30.0,0.002191006866269163,1.0,0.0
144,29.0,0.0019206706751901947,1.0,0.0
145,30.0,0.0019848566425935132,1.0,0.0
146,32.0,0.0021011465123592643,1.0,0.0
147,29.0,0.001954651481810288,1.0,0.0
148,29.0,0.0019263341432633752,1.0,0.0
149,31.0,0.0020377156743052183,1.0,0.0
150,29.0,0.0019134969497827115,1.0,0.0
151,29.0,0.002066788141746656,1.0,0.0
152,33.0,0.002230273575605679,1.0,0.0
153,31.0,0.0021709959469262685,1.0,0.0
154,30.0,0.0019750399651456974,1.0,0.0
155,31.0,0.002035827851614158,1.0,0.0
156,29.0,0.001961070078323246,1.0,0.0
157,29.0,0.0019622027716650337,1.0,0.0
158,33.0,0.0021521177218346565,1.0,0.0
159,30.0,0.0019765502229347476,1.0,0.0
