steps,time,reward,delta,converged
1,0.03580821837113035,0.0,0,False
2,0.03306785513905197,0.0,0,False
3,0.03200614372963173,0.0,0,False
4,0.033836576486464764,0.0,0,False
5,0.03318376744437046,0.0,0,False
6,0.03507385539433017,0.0,0,False
7,0.03334763044290412,0.0,0,False
8,0.03427794940171225,0.0,0,False
9,0.033839597002724986,0.0,0,False
10,0.0317169293130064,0.0,0,False
11,0.03271634257794176,0.0,0,False
12,0.03450864131900744,0.0,0,False
13,0.032606471304688966,0.0,0,False
14,0.03211677013200642,0.0,0,False
15,0.03200312321359888,0.0,0,False
16,0.03175657358679018,0.0,0,False
17,0.03353301461856972,0.0,0,False
18,0.031790931957630164,0.0,0,False
19,0.033725572519870184,0.0,0,False
20,0.03246714999954747,0.0,0,False
21,0.0322572241304897,0.0,0,False
22,0.031883812827800284,0.0,0,False
23,0.03241844417743778,0.0,0,False
24,0.03247394616073507,0.0,0,False
25,0.03260798156270539,0.0,0,False
26,0.03203144055191842,0.0,0,False
27,0.032347084484626976,0.0,0,False
28,0.03213413809953636,0.0,0,False
29,0.03453695865732698,0.0,0,False
30,0.03205069634213942,0.0,0,False
31,0.0323300940815443,0.0,0,False
32,0.0316029048301516,0.0,0,False
33,0.03164405936217918,0.0,0,False
34,0.031680305555482846,0.0,0,False
35,0.03342880681316274,0.0,0,False
36,0.03165047795891951,0.0,0,False
37,0.031703336990631215,0.0,0,False
38,0.03195781547219667,0.0,0,False
39,0.03286585812497833,0.0,0,False
40,0.032237590775821445,0.0,0,False
41,0.03339595870033918,0.0,0,False
42,0.03276995673854799,0.0,0,False
43,0.032211538824412855,0.0,0,False
44,0.03400836833998255,0.0,0,False
45,0.03212809706747066,0.0,0,False
46,0.03198084690757241,0.0,0,False
47,0.031721837651957685,0.0,0,False
48,0.03236822809731166,0.0,0,False
49,0.03115624601196032,0.0,0,False
50,0.030629165952404946,0.0,0,False
51,0.033426541426024414,0.0,0,False
52,0.03260231809508696,0.0,0,False
53,0.031929875698324395,0.0,0,False
54,0.032739751577764764,0.0,0,False
55,0.03265744251370961,0.0,0,False
56,0.03219492598600482,0.0,0,False
57,0.03214697529301702,0.0,0,False
58,0.03297157618840174,0.0,0,False
59,0.032196813808468505,0.0,0,False
60,0.03257437832121468,0.0,0,False
61,0.03199330653615107,0.0,0,False
62,0.031898537843744634,0.0,0,False
63,0.035184481796477485,0.0,0,False
64,0.03298818902680978,0.0,0,False
65,0.03359606789194913,0.0,0,False
66,0.034119372306577134,0.0,0,False
67,0.03226515298524646,0.0,0,False
68,0.03283603052818762,0.0,0,False
69,0.03251170261205516,0.0,0,False
70,0.032469415386685796,0.0,0,False
71,0.032607981562932764,0.0,0,False
72,0.03290474726964021,0.0,0,False
73,0.03204465531007372,0.0,0,False
74,0.03271256693278701,0.0,0,False
75,0.03219605867957398,0.0,0,False
76,0.03130387373630583,0.0,0,False
77,0.03169956134547647,0.0,0,False
78,0.032722383610007455,0.0,0,False
79,0.03334763044290412,0.0,0,False
80,0.032819417689779584,0.0,0,False
81,0.03198235716558884,0.0,0,False
82,0.03228667416260578,0.0,0,False
83,0.032503773757298404,0.0,0,False
84,0.03229347032379337,0.0,0,False
85,0.03234557422638318,0.0,0,False
86,0.03260080783707053,0.0,0,False
87,0.03345636902236038,0.0,0,False
88,0.03227459209824701,0.0,0,False
89,0.031885323085589334,0.0,0,False
90,0.033213217476486534,0.0,0,False
91,0.03102787407760843,0.0,0,False
92,0.03114265368958513,0.0,0,False
93,0.0307099647582163,0.0,0,False
94,0.03383242327709013,0.0,0,False
95,0.03258079691795501,0.0,0,False
96,0.033614946117722866,0.0,0,False
97,0.0334888395705093,0.0,0,False
98,0.031805656973574514,0.0,0,False
99,0.03258041935350775,0.0,0,False
100,0.03196574432695343,0.0,0,False
101,0.03286887864101118,0.0,0,False
102,0.032498865418574496,0.0,0,False
103,0.03260798156270539,0.0,0,False
104,0.03247394616096244,0.0,0,False
105,0.03256720459535245,0.0,0,False
106,0.032262510033660874,0.0,0,False
107,0.03177771719970224,0.0,0,False
108,0.03186984294075046,0.0,0,False
109,0.0325951443694521,0.0,0,False
110,0.03179961594150882,0.0,0,False
111,0.03168143824905201,0.0,0,False
112,0.03296931080126342,0.0,0,False
113,0.03209336113218342,0.0,0,False
114,0.031528524621535325,0.0,0,False
115,0.03158251634658882,0.0,0,False
116,0.032707658594063105,0.0,0,False
117,0.03236218706501859,0.0,0,False
118,0.031034292674576136,0.0,0,False
119,0.03163197729782041,0.0,0,False
120,0.032204365098778,0.0,0,False
121,0.03268915793296401,0.0,0,False
122,0.0321454650350006,0.0,0,False
123,0.032340665887886644,0.0,0,False
124,0.03244713908043195,0.0,0,False
125,0.03284509207674091,0.0,0,False
126,0.031907976956517814,0.0,0,False
127,0.03164103884614633,0.0,0,False
128,0.031504738057037684,0.0,0,False
129,0.032642339933318,0.0,0,False
130,0.03238823901642718,0.0,0,False
131,0.03311391800957608,0.0,0,False
132,0.03273710862617918,0.0,0,False
133,0.03246677243487284,0.0,0,False
134,0.0315440047663742,0.0,0,False
135,0.031881925005109224,0.0,0,False
136,0.032384840935719694,0.0,0,False
