steps,time,reward,delta,converged
1,0.03488016479923317,0.0,0,False
2,0.0343043789175681,0.0,0,False
3,0.03240598454863175,0.0,0,False
4,0.034363278981572876,0.0,0,False
5,0.032226641405259215,0.0,0,False
6,0.03305577307469321,0.0,0,False
7,0.032392769790703824,0.0,0,False
8,0.032788457399647086,0.0,0,False
9,0.03170258186173669,0.0,0,False
10,0.03233613511383737,0.0,0,False
11,0.03254492828932598,0.0,0,False
12,0.03244789420932648,0.0,0,False
13,0.03257551101455647,0.0,0,False
14,0.0331641340897022,0.0,0,False
15,0.032989699285053575,0.0,0,False
16,0.033870934857304746,0.0,0,False
17,0.0324920692573869,0.0,0,False
18,0.03167804016834452,0.0,0,False
19,0.032072595083946,0.0,0,False
20,0.031284240381637574,0.0,0,False
21,0.030779814192783306,0.0,0,False
22,0.0332959041045342,0.0,0,False
23,0.031471134815546975,0.0,0,False
24,0.031519463072982035,0.0,0,False
25,0.03198651037496347,0.0,0,False
26,0.03209524895487448,0.0,0,False
27,0.0306246351781283,0.0,0,False
28,0.03174033831282941,0.0,0,False
29,0.03332044579792637,0.0,0,False
30,0.03211979064803927,0.0,0,False
31,0.030693729484255527,0.0,0,False
32,0.03126045381759468,0.0,0,False
33,0.033161113573669354,0.0,0,False
34,0.03332648683021944,0.0,0,False
35,0.03377541103554904,0.0,0,False
36,0.031053548464569758,0.0,0,False
37,0.031155868447513058,0.0,0,False
38,0.03474046592987179,0.0,0,False
39,0.03265895277218078,0.0,0,False
40,0.031418275783607896,0.0,0,False
41,0.031938559681975676,0.0,0,False
42,0.03082134628948552,0.0,0,False
43,0.031010128545631233,0.0,0,False
44,0.03090554317554961,0.0,0,False
45,0.03226251003388825,0.0,0,False
46,0.031667845926449445,0.0,0,False
47,0.03206315597117282,0.0,0,False
48,0.030860990563041923,0.0,0,False
49,0.0324811198865973,0.0,0,False
50,0.03235690116184742,0.0,0,False
51,0.03227232671110869,0.0,0,False
52,0.03194724366585433,0.0,0,False
53,0.032863592737612635,0.0,0,False
54,0.03196687702052259,0.0,0,False
55,0.0316765299103281,0.0,0,False
56,0.031405438590354606,0.0,0,False
57,0.03194950905276528,0.0,0,False
58,0.03154211694368314,0.0,0,False
59,0.03138995844528836,0.0,0,False
60,0.0324811198865973,0.0,0,False
61,0.03331176181427509,0.0,0,False
62,0.03235274795224541,0.0,0,False
63,0.033067100010157446,0.0,0,False
64,0.034231508966740876,0.0,0,False
65,0.03360059866622578,0.0,0,False
66,0.03369687761710338,0.0,0,False
67,0.03231725688806364,0.0,0,False
68,0.031903068617793906,0.0,0,False
69,0.03163273242671494,0.0,0,False
70,0.031208727479224763,0.0,0,False
71,0.03145640979937525,0.0,0,False
72,0.03420470188643776,0.0,0,False
73,0.032618553369275105,0.0,0,False
74,0.0317244806033159,0.0,0,False
75,0.03200614372963173,0.0,0,False
76,0.032368605661986294,0.0,0,False
77,0.03341785744237313,0.0,0,False
78,0.032326318436389556,0.0,0,False
79,0.03210355537385112,0.0,0,False
80,0.032014827713510385,0.0,0,False
81,0.032930421656374165,0.0,0,False
82,0.0318392602152926,0.0,0,False
83,0.031648967700903086,0.0,0,False
84,0.03288171583449184,0.0,0,False
85,0.03234330883947223,0.0,0,False
86,0.03187928205352364,0.0,0,False
87,0.03275485415815638,0.0,0,False
88,0.03119777810843516,0.0,0,False
89,0.03103806831950351,0.0,0,False
90,0.03171692931323378,0.0,0,False
91,0.032387861451979916,0.0,0,False
92,0.03246601730597831,0.0,0,False
93,0.03295043257571706,0.0,0,False
94,0.03236256462946585,0.0,0,False
95,0.03387017972818285,0.0,0,False
96,0.03271747527151092,0.0,0,False
97,0.0329066350921039,0.0,0,False
98,0.03237426912960473,0.0,0,False
99,0.03215603684134294,0.0,0,False
100,0.03172032739371389,0.0,0,False
101,0.031771298602961906,0.0,0,False
102,0.033167532170409686,0.0,0,False
103,0.03180943261872926,0.0,0,False
104,0.03212394385764128,0.0,0,False
105,0.03177092103851464,0.0,0,False
106,0.03393096761487868,0.0,0,False
107,0.03258079691795501,0.0,0,False
108,0.031039956141967195,0.0,0,False
109,0.03219228303464661,0.0,0,False
110,0.0320004802620133,0.0,0,False
111,0.031138500479983122,0.0,0,False
112,0.03203597132619507,0.0,0,False
113,0.030717893612973057,0.0,0,False
114,0.03154173937923588,0.0,0,False
115,0.03262988030451197,0.0,0,False
116,0.032504906450867566,0.0,0,False
117,0.031517952815192984,0.0,0,False
118,0.03224854014683842,0.0,0,False
