episode,length,time,reward,delta
0,452.0,0.03566021308233758,1.0,1.000225514021062
1,500.0,0.03380637132568154,0.0,-3.0305360178007315e-05
2,500.0,0.03230630751704666,0.0,-1.635287902560641e-05
3,299.0,0.018608644566029398,1.0,0.5001127570105309
4,434.0,0.027058538357323414,1.0,0.9998225759924066
5,250.0,0.015409540450946224,1.0,0.2500563785052654
6,277.0,0.016951136355601193,1.0,0.4999112879962033
7,493.0,0.03314601099327774,1.0,0.1250281892526327
8,235.0,0.015332894854964252,1.0,0.24995564399810166
9,371.0,0.02344826648777598,1.0,0.12497782199905083
10,193.0,0.012081686837518646,1.0,0.0625140946263163
11,279.0,0.01802946060342947,1.0,0.06248891099952547
12,251.0,0.01607027834825203,1.0,0.03125704731315815
13,198.0,0.012434709656645282,1.0,0.031244455499762736
14,317.0,0.01966884571720584,1.0,0.015622227749881423
15,108.0,0.007192981528532982,1.0,0.015628523656579074
16,228.0,0.014513579862978077,1.0,0.007811113874940712
17,154.0,0.009606373892893316,1.0,0.007814261828289482
18,175.0,0.010643543609148765,1.0,0.0039055569374704113
19,185.0,0.011490798375689337,1.0,0.003907130914144741
20,142.0,0.009185389461890736,1.0,0.0019527784687352057
21,204.0,0.01397630556130025,1.0,0.0009763892343676028
22,126.0,0.009322067814991897,1.0,0.0019535654570723704
23,127.0,0.008270550647466735,1.0,0.0004881946171837459
24,144.0,0.009781186262443953,1.0,0.0009767827285361852
25,119.0,0.007774808442718495,1.0,0.00024409730859198397
26,111.0,0.0074618074618229,1.0,0.00012204865429610301
27,127.0,0.00854579517726961,1.0,0.0004883913642681481
28,152.0,0.010906706073910755,1.0,0.0002441956821341851
29,100.0,0.006807488161484798,1.0,6.102432714816253e-05
30,128.0,0.008394014243094716,1.0,3.0512163574192286e-05
31,120.0,0.007452368348822347,1.0,0.00012209784106720356
32,103.0,0.007613210831095785,1.0,1.525608178698512e-05
33,123.0,0.008002102279078827,1.0,6.10489205337128e-05
34,86.0,0.005581536189311009,1.0,7.628040893381538e-06
35,110.0,0.006780681081181683,1.0,3.052446026674538e-05
36,71.0,0.004462812538349681,1.0,3.8140204468017913e-06
37,102.0,0.0063899018109623285,1.0,1.5262230133261667e-05
38,90.0,0.00753618767066655,1.0,1.9070102232898734e-06
39,83.0,0.005391998803588649,1.0,9.535051115339144e-07
40,96.0,0.006184506715726457,1.0,7.631115066741856e-06
41,78.0,0.004906450840735488,1.0,4.767525558779795e-07
42,85.0,0.005873393557521922,1.0,3.815557533259906e-06
43,67.0,0.00424609050833169,1.0,2.3837627805001205e-07
44,75.0,0.004909093792321073,1.0,1.907778766740975e-06
45,68.0,0.0044862215381726855,1.0,1.1918813913602833e-07
46,97.0,0.006350257536723802,1.0,9.538893832594653e-07
47,71.0,0.004382391297440336,1.0,5.959406945699186e-08
48,59.0,0.0037616752388203167,1.0,2.9797034839518233e-08
49,58.0,0.0036438751103560207,1.0,4.769446915187103e-07
50,73.0,0.004775435954798013,1.0,1.4898517308736814e-08
51,82.0,0.005120529919622641,1.0,2.3847234564833286e-07
52,62.0,0.003954988269015303,1.0,7.4492587653907094e-09
53,54.0,0.0034297960319236154,1.0,3.7246292716730522e-09
54,60.0,0.0037733797385044454,1.0,1.1923617271314413e-07
55,66.0,0.004227967411679856,1.0,5.961808624554976e-08
56,51.0,0.0033074651300921687,1.0,1.8623145248142237e-09
57,70.0,0.004397116313157312,1.0,2.980904301175258e-08
58,32.0,0.0020328073355813103,1.0,9.311571513848094e-10
59,46.0,0.0029823820846104354,1.0,4.655784646701022e-10
60,66.0,0.004104503816051874,1.0,1.4904521394853987e-08
61,45.0,0.0027792523769676336,1.0,2.3278912131274865e-10
62,35.0,0.0022163036887832277,1.0,1.1639467167867679e-10
63,48.0,0.002967657068893459,1.0,5.819722481703593e-11
64,49.0,0.002964258987958601,1.0,7.452260808449296e-09
65,36.0,0.0024851296216183982,1.0,2.9098723430820428e-11
66,39.0,0.0024926809119278914,1.0,1.4549472737712676e-11
67,47.0,0.002937451907655486,1.0,3.7261302932023455e-09
68,36.0,0.00231711341348273,1.0,7.274847391158801e-12
69,54.0,0.0036438751103560207,1.0,1.8630650355788703e-09
70,29.0,0.0021894966084801126,1.0,3.637312673276938e-12
71,43.0,0.0028793069727726106,1.0,1.8187673589409314e-12
72,31.0,0.002022613093686232,1.0,9.092726571680032e-13
73,37.0,0.0023839423324716336,1.0,9.315324067671327e-10
74,31.0,0.0019633354654615687,1.0,4.545253062815391e-13
75,38.0,0.002486262314960186,1.0,4.657663144058688e-10
76,33.0,0.0029227268914837623,1.0,2.2715163083830703e-13
77,29.0,0.0019063232239204808,1.0,1.13464793116691e-13
78,29.0,0.00192369119167779,1.0,5.6621374255882984e-14
79,32.0,0.002181190188821347,1.0,2.8199664825478976e-14
80,32.0,0.0021339946251828223,1.0,1.3988810110276972e-14
81,29.0,0.001903302707887633,1.0,6.8833827526759706e-15
