episode,length,time,reward,delta
0,459.0,0.032567204595579824,1.0,1.0001605601051244
1,500.0,0.032254958743578754,0.0,-3.600337340577191e-05
2,500.0,0.031745246651553316,0.0,-0.0001575408587236076
3,500.0,0.03281564204462484,0.0,-8.814546569994202e-05
4,287.0,0.01809213631258899,1.0,0.5000802800525622
5,500.0,0.03121854415667258,0.0,-4.599784675662002e-05
6,281.0,0.018672830533432716,1.0,0.9996366348611788
7,308.0,0.019410969155160274,1.0,0.25004014002628105
8,392.0,0.025613598967538564,1.0,0.49981831743058946
9,500.0,0.031245728801422956,0.0,-1.754505124570757e-05
10,376.0,0.024013102998651448,1.0,0.12502007001314053
11,183.0,0.011597271567552525,1.0,0.24990915871529473
12,133.0,0.009073630365492136,1.0,0.06251003500657026
13,205.0,0.012896471055228176,1.0,0.12495457935764742
14,176.0,0.0116988364216013,1.0,0.031255017503285076
15,151.0,0.009620721344617778,1.0,0.06247728967882371
16,151.0,0.009498012877884321,1.0,0.015627508751642538
17,250.0,0.015996275703400897,1.0,0.007813754375821214
18,95.0,0.006133913071153074,1.0,0.031238644839411855
19,147.0,0.009708316311389353,1.0,0.003906877187910607
20,130.0,0.008422331581641629,1.0,0.001953438593955248
21,128.0,0.008319256469803804,1.0,0.015619322419705872
22,193.0,0.013255912471322517,1.0,0.000976719296977624
23,90.0,0.005638170866404835,1.0,0.000488359648488812
24,129.0,0.008466884194149316,1.0,0.000244179824244517
25,88.0,0.005743133800478972,1.0,0.007809661209852936
26,96.0,0.00624755998933324,1.0,0.00012208991212214748
27,153.0,0.0099329671961641,1.0,0.0039048306049265236
28,92.0,0.005996102023800631,1.0,6.104495606096272e-05
29,88.0,0.006136556022283912,1.0,0.0019524153024632618
30,101.0,0.006408024907159415,1.0,3.052247803059238e-05
31,142.0,0.00909024320435492,1.0,0.0009762076512316309
32,51.0,0.003344466452290362,1.0,1.5261239015407213e-05
33,110.0,0.006998535804996209,1.0,0.0004881038256157044
34,93.0,0.005973448152872152,1.0,7.630619507592584e-06
35,86.0,0.006243406779503857,1.0,0.00024405191280796323
36,103.0,0.006863367709229351,1.0,3.81530975368527e-06
37,81.0,0.005445990529096889,1.0,0.00012202595640409264
38,71.0,0.004682555084855267,1.0,6.10129782019353e-05
39,90.0,0.0059141705246474885,1.0,1.907654876953657e-06
40,75.0,0.00498309643671746,1.0,9.53827438587851e-07
41,81.0,0.005331210917574936,1.0,4.769137194049478e-07
42,136.0,0.0092306972028382,1.0,3.0506489100856626e-05
43,64.0,0.004151699380145146,1.0,2.384568598134962e-07
44,77.0,0.004995556065750861,1.0,1.192284300177704e-07
45,59.0,0.003893067688750307,1.0,1.5253244550317291e-05
46,61.0,0.00453379466671322,1.0,5.96142151199075e-08
47,104.0,0.006770109274384595,1.0,7.626622275269668e-06
48,70.0,0.0046700954558218655,1.0,2.980710767097605e-08
49,79.0,0.005304403836817073,1.0,3.813311137745856e-06
50,51.0,0.0032836785658219014,1.0,1.9066555687619058e-06
51,55.0,0.0036030981432304543,1.0,1.4903553724465723e-08
52,63.0,0.004177751331553736,1.0,9.533277844919752e-07
53,60.0,0.003899863850165275,1.0,4.766638921349653e-07
