steps,time,reward,delta,converged
1,0.0005048037533015304,1.0,1.0,False
2,0.0004134331412615211,1.6,0.6,False
3,0.0003685029642497284,2.32,0.36,False
4,0.000444770995798649,2.9593599999999998,0.216,False
5,0.0004077696735578229,3.135616,0.1296,False
6,0.00046515947947511904,3.2413695999999996,0.07776,False
7,0.000650166090622406,3.3048217600000003,0.046655999999999996,False
8,0.0005901333331337355,3.359689216,0.027993599999999997,False
9,0.0007090661545987587,3.359689216,0,True
