steps,time,reward,delta,converged
1,0.00400180626863289,2.0,1.0,False
2,0.0035645865630726803,3.2,0.6,False
3,0.0035608109179463554,4.279999999999999,0.36,False
4,0.003585730175785784,4.928,0.216,False
5,0.003510594837791814,5.3168,0.1296,False
6,0.0035845974822450444,5.5500799999999995,0.07776,False
7,0.00357968914357798,5.690048,0.046655999999999996,False
8,0.003699377094051215,5.7740288,0.027993599999999997,False
9,0.0039089253985480354,5.82441728,0.016796159999999997,False
10,0.0035358916601353485,5.854650368,0.010077695999999999,False
11,0.0035407999987739913,5.8727902208,0.006046617599999999,False
12,0.0034713281284837194,5.8836741324799995,0.0036279705599999994,False
13,0.0037756451256143464,5.890204479487999,0.0021767823359999995,False
14,0.003467174918824867,5.8941226876928,0.0013060694015999995,False
15,0.0035302281924316503,5.8972572542566395,0.0007836416409599997,False
16,0.0035728929823619637,5.900203245295999,0.0004701849845759998,False
17,0.0034630217092228577,5.900869027234158,0.00028211099074559984,False
18,0.0036687943685649316,5.9016052711633185,0.0001692665944473599,False
19,0.003541177563306519,5.901713275318607,0.00010155995666841595,False
20,0.004358982297503644,5.901838039954424,6.0935974001049565e-05,False
21,0.003516258305495512,5.9018763360072874,3.656158440062974e-05,False
22,0.00356571925661342,5.901920373111619,2.1936950640377843e-05,False
23,0.0035219217731707886,5.901934149376225,1.3162170384226705e-05,False
24,0.003487185837997231,5.901952725852781,7.897302230536022e-06,True
